matchPeriod,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls_received,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_penalty,Yellow_card,Red_card,PlayerType,gender
1H,16,15,1,0,0,0,1,0,1,2,0,2,12,6,6,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,Defender,1
2H,28,19,9,5,0,5,5,2,3,1,1,0,5,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
1H,25,23,2,3,2,1,0,0,0,0,0,0,6,3,2,6,0,2,2,0,2,0,1,0,0,0,0,0,0,0,Defender,1
2H,27,25,2,0,0,0,3,3,0,3,2,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
1H,12,8,4,0,0,0,0,0,0,8,2,6,7,1,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Forward,1
1H,14,10,4,0,0,0,1,0,1,2,1,1,17,2,7,0,2,0,0,0,1,0,0,2,1,1,0,0,0,0,Forward,1
1H,20,16,4,1,0,1,0,0,0,1,1,0,8,2,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,12,7,5,0,0,0,2,0,2,0,0,0,1,1,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Goalkeeper,1
1H,31,29,2,2,0,2,0,0,0,0,0,0,5,1,3,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,Defender,1
1H,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,3,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,7,5,2,0,0,0,0,0,0,2,1,1,5,2,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Forward,1
E1,3,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Midfielder,1
1H,23,14,9,1,1,0,4,0,4,0,0,0,11,5,3,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,Midfielder,1
2H,15,13,2,1,0,1,0,0,0,2,2,0,16,4,10,4,2,2,0,2,1,0,0,1,0,1,0,0,0,0,Midfielder,1
2H,39,38,1,0,0,0,2,1,1,3,2,1,7,4,3,1,0,0,0,0,3,0,1,3,2,1,0,0,0,0,Defender,1
1H,15,7,8,2,0,2,1,0,1,4,1,3,8,4,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Defender,1
1H,8,6,2,0,0,0,1,1,0,2,1,1,9,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Defender,1
2H,17,13,4,1,0,1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,MidfielderSubstitute,1
2H,24,20,4,2,1,1,0,0,0,1,0,1,8,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,1
2H,5,4,1,0,0,0,1,0,1,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,1
